model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
Unet++ timm-resnest101e jaccard
fold 1,  0.5546804782835622 ± 0.1193949721157237 , 0.7057153602485337 ± 0.10220435184567685 , 0.7679880840770699 ± 0.07114671067017987 , 0.6568243557429329 ± 0.12576946514090434 , 0.7057153602485337 ± 0.10220435184567685 , 0.015839845 ± 0.011839024 , -8.0 ± 7.9498427657407165 , 8.0 ± 7.9498427657407165 , -143.2 ± 135.33277503989933 , 143.2 ± 135.33277503989933 , 1.0 ± 3.22490309931942 , 2.6 ± 2.1540659228538015 , -1.8 ± 1.32664991614216 , 1.8 ± 1.32664991614216
fold 2,  0.5399853172630278 ± 0.0531426926884173 , 0.6997398428700441 ± 0.044854220515821185 , 0.7784998288118502 ± 0.06493396313705593 , 0.64378280363679 ± 0.07253102439285974 , 0.6997398428700441 ± 0.04485422051582115 , 0.0149433585 ± 0.0056260624 , -3.2 ± 5.035871324805669 , 4.4 ± 4.029888335921977 , -88.6 ± 51.157013204447345 , 88.6 ± 51.157013204447345 , 3.0 ± 4.8166378315169185 , 4.6 ± 3.32264954516723 , -1.2 ± 1.1661903789690602 , 1.2 ± 1.1661903789690602
fold 3,  0.5872470010628013 ± 0.09894240080401052 , 0.7346519197215976 ± 0.0851704744622714 , 0.7639911601436025 ± 0.06766304725860917 , 0.719963637037061 ± 0.12733854485670779 , 0.7346519197215976 ± 0.08517047446227136 , 0.022154296 ± 0.016930934 , -19.0 ± 20.248456731316587 , 19.0 ± 20.248456731316587 , -248.2 ± 189.1395252188183 , 248.2 ± 189.1395252188183 , 0.2 ± 3.655133376499413 , 3.4 ± 1.3564659966250536 , -3.4 ± 3.0066592756745814 , 3.4 ± 3.0066592756745814
fold 4,  0.45899198747370046 ± 0.10159958996726576 , 0.6224483275751782 ± 0.0969097410157771 , 0.6808008128579968 ± 0.10374552606497775 , 0.5778294381592642 ± 0.10515479342593399 , 0.6224483275751781 ± 0.09690974101577707 , 0.024814453 ± 0.0062329844 , -2.4 ± 9.221713506718803 , 6.8 ± 6.675327707311454 , -110.6 ± 126.02158545265172 , 111.8 ± 124.95823302207822 , 4.6 ± 6.086049621881176 , 5.0 ± 5.761944116355173 , -1.0 ± 2.3664319132398464 , 1.8 ± 1.8330302779823362
fold 5,  0.5083674696633623 ± 0.0596634990870391 , 0.6718835343995749 ± 0.055127165439463846 , 0.7769562659958466 ± 0.02736476938472645 , 0.6007736559559496 ± 0.08919331120776854 , 0.6718835343995749 ± 0.05512716543946378 , 0.018363282 ± 0.006321218 , -2.4 ± 2.8 , 2.8 ± 2.4 , -97.8 ± 99.2157245601724 , 97.8 ± 99.2157245601724 , 4.0 ± 2.6076809620810595 , 4.0 ± 2.6076809620810595 , -1.0 ± 0.6324555320336759 , 1.0 ± 0.6324555320336759
fold 6,  0.3750184922848327 ± 0.16304086397936748 , 0.5221952385639167 ± 0.19741458070390916 , 0.8193131722821576 ± 0.17550796818021544 , 0.4374954558298064 ± 0.18564624966547924 , 0.5221952385639168 ± 0.19741458070390921 , 0.008699219 ± 0.0048019732 , -5.6 ± 7.310266752998827 , 8.0 ± 4.560701700396552 , -59.2 ± 70.89541593079203 , 86.8 ± 31.568338568888926 , -3.4 ± 5.9531504264548865 , 5.0 ± 4.69041575982343 , -0.6 ± 0.7999999999999999 , 0.6 ± 0.7999999999999999
fold 7,  0.47874884490930575 ± 0.1134758969153953 , 0.6392036042257352 ± 0.10856106925049397 , 0.5898696765577222 ± 0.1691765637768159 , 0.7520227345264536 ± 0.0686545381196939 , 0.6392036042257352 ± 0.10856106925049396 , 0.021150392 ± 0.011952479 , -10.4 ± 5.314132102234569 , 10.4 ± 5.314132102234569 , -29.6 ± 246.68895394808416 , 195.2 ± 153.7158417340256 , -6.0 ± 7.694153624668538 , 9.2 ± 3.249615361854384 , -0.6 ± 1.2000000000000002 , 0.6 ± 1.2000000000000002
fold 8,  0.5271172551065872 ± 0.054309503631906855 , 0.6886643689223505 ± 0.04723482843702132 , 0.7523838879669803 ± 0.07372181143156295 , 0.6369676361824567 ± 0.03944261885872761 , 0.6886643689223506 ± 0.04723482843702135 , 0.0079960935 ± 0.0036292637 , -4.2 ± 1.7204650534085253 , 4.2 ± 1.7204650534085253 , -48.0 ± 32.96664981462326 , 48.0 ± 32.96664981462326 , 1.4 ± 3.2619012860600183 , 3.4 ± 1.019803902718557 , -1.2 ± 0.9797958971132713 , 1.2 ± 0.9797958971132713
fold 9,  0.5113322349732208 ± 0.052678044126834606 , 0.6750237617476306 ± 0.047091586453915965 , 0.6941969140329712 ± 0.09918678313358922 , 0.6646493060998859 ± 0.011782521344647063 , 0.6750237617476306 ± 0.04709158645391595 , 0.0069667967 ± 0.0022401721 , -6.6 ± 3.1368774282716245 , 6.6 ± 3.1368774282716245 , -42.2 ± 45.05729685633615 , 43.8 ± 43.50356307246568 , -4.6 ± 4.758150901348127 , 5.8 ± 3.1874754901018454 , 0.0 ± 0.8944271909999159 , 0.8 ± 0.4
fold 10,  0.4885937156309336 ± 0.09373676775966579 , 0.6511593755203438 ± 0.08421224731339938 , 0.7037695511089165 ± 0.05658803080745748 , 0.6324411047527767 ± 0.15562543863635325 , 0.6511593755203438 ± 0.08421224731339934 , 0.0131289065 ± 0.0075234002 , -10.6 ± 9.871170143402454 , 13.0 ± 6.387487769068525 , -130.8 ± 125.88629790410073 , 141.6 ± 113.60211265641145 , 3.0 ± 8.532291603080617 , 6.6 ± 6.1838499334961226 , -2.4 ± 4.079215610874227 , 3.2 ± 3.4871191548325386

Unet timm-resnest101e jaccard
fold 1,  0.5305195959139345 ± 0.13916318775394332 , 0.6819075320443376 ± 0.12482054465493651 , 0.7734958330347883 ± 0.08380915934615098 , 0.616638597094563 ± 0.14996861441287423 , 0.6819075320443376 ± 0.12482054465493646 , 0.016417969 ± 0.012282224 , -6.8 ± 5.3065996645686395 , 6.8 ± 5.3065996645686395 , -130.4 ± 141.4250331447725 , 130.4 ± 141.4250331447725 , 2.0 ± 1.7888543819998317 , 2.4 ± 1.2 , -1.2 ± 1.16619037896906 , 1.2 ± 1.16619037896906
fold 2,  0.5394556564409294 ± 0.07471463423618077 , 0.6978091607408735 ± 0.06252944524317929 , 0.7861504951956098 ± 0.06850041555602147 , 0.6310093266822009 ± 0.07260445746933127 , 0.6978091607408735 ± 0.06252944524317929 , 0.015351564 ± 0.0074263094 , -5.8 ± 8.255906976220118 , 7.8 ± 6.4 , -129.4 ± 97.52456100900942 , 129.4 ± 97.52456100900942 , 2.8 ± 4.664761515876241 , 5.2 ± 1.6000000000000003 , -1.8 ± 1.1661903789690602 , 1.8 ± 1.1661903789690602
fold 3,  0.6029934210370204 ± 0.08476295098381328 , 0.7485865385212283 ± 0.07091087268896372 , 0.7802601436452028 ± 0.06733842671269467 , 0.7282100482619585 ± 0.10555875604315501 , 0.7485865385212283 ± 0.07091087268896379 , 0.021097656 ± 0.016015982 , -15.2 ± 15.14463601411404 , 15.2 ± 15.14463601411404 , -221.8 ± 129.76655963691107 , 221.8 ± 129.76655963691107 , -0.4 ± 4.841487374764082 , 3.6 ± 3.2619012860600183 , -2.8 ± 2.3151673805580453 , 2.8 ± 2.3151673805580453
fold 4,  0.46588748850843514 ± 0.09306424022914905 , 0.6300630545240654 ± 0.08791660891772422 , 0.6498909593332426 ± 0.07773019284791151 , 0.6202807447629424 ± 0.12077577625334768 , 0.6300630545240654 ± 0.08791660891772421 , 0.026097655 ± 0.0076733595 , -5.2 ± 9.620810776644554 , 9.2 ± 5.912698199637793 , -173.2 ± 130.55328414099736 , 173.2 ± 130.55328414099736 , -1.4 ± 7.552483035399682 , 7.0 ± 3.1622776601683795 , -0.2 ± 1.4696938456699071 , 1.4 ± 0.4898979485566356
fold 5,  0.5364305771316247 ± 0.04493379032571957 , 0.6971417260137951 ± 0.03898787510592443 , 0.7428960216909072 ± 0.02946797178083649 , 0.661483416786316 ± 0.06850302778084637 , 0.6971417260137951 ± 0.03898787510592443 , 0.018330079 ± 0.0066806525 , -6.0 ± 4.1952353926806065 , 6.4 ± 3.555277766926235 , -85.2 ± 115.85059343827291 , 96.4 ± 106.71194872178091 , -0.8 ± 1.16619037896906 , 1.2 ± 0.7483314773547883 , -1.0 ± 0.6324555320336759 , 1.0 ± 0.6324555320336759
fold 6,  0.28790595319530643 ± 0.11159533961804471 , 0.43387276342461323 ± 0.152739196796578 , 0.7526770894935023 ± 0.12701685527198325 , 0.34209097377817255 ± 0.14693877585453885 , 0.4338727634246132 ± 0.152739196796578 , 0.009527343 ± 0.0038960834 , -6.2 ± 9.516301802696255 , 9.4 ± 6.374950980203691 , -105.6 ± 62.07930411981114 , 105.6 ± 62.07930411981114 , -6.0 ± 7.694153624668538 , 7.6 ± 6.118823416311343 , -0.2 ± 0.7483314773547883 , 0.6 ± 0.48989794855663565
fold 7,  0.42591324380317863 ± 0.11332894841013624 , 0.5886006987782367 ± 0.11077911061140637 , 0.6204899737553268 ± 0.17994512723073108 , 0.6481262132001187 ± 0.1708576449800919 , 0.5886006987782366 ± 0.11077911061140633 , 0.021150392 ± 0.011656818 , -7.6 ± 4.5431266766402185 , 7.6 ± 4.5431266766402185 , -38.8 ± 193.1128167678158 , 170.4 ± 98.80202427076077 , -1.6 ± 9.971960689854328 , 8.0 ± 6.164414002968976 , 0.0 ± 1.4142135623730951 , 1.2 ± 0.7483314773547883
fold 8,  0.519426622931016 ± 0.04071238082865244 , 0.6827802004078664 ± 0.03486037044688625 , 0.8230612361931564 ± 0.06026508505016863 , 0.5852503694680617 ± 0.03586572402461659 , 0.6827802004078664 ± 0.0348603704468862 , 0.0073886723 ± 0.0027026169 , -8.6 ± 3.3823069050575527 , 8.6 ± 3.3823069050575527 , -67.6 ± 42.46692830897945 , 67.6 ± 42.46692830897945 , 1.8 ± 2.3151673805580453 , 2.6 ± 1.3564659966250536 , -2.0 ± 1.6733200530681511 , 2.0 ± 1.6733200530681511
fold 9,  0.524415541663167 ± 0.057482256408599594 , 0.6861627963557955 ± 0.04933201740008818 , 0.6958547610612335 ± 0.06748838445625592 , 0.6801942928390449 ± 0.04978264040532975 , 0.6861627963557955 ± 0.0493320174000882 , 0.006847656 ± 0.0024887014 , -9.4 ± 3.8781438859330635 , 9.4 ± 3.8781438859330635 , -67.0 ± 49.602419295836775 , 67.0 ± 49.602419295836775 , -5.2 ± 5.528109984434102 , 5.6 ± 5.122499389946279 , -0.8 ± 1.1661903789690602 , 1.2 ± 0.7483314773547883
fold 10,  0.47133614620237435 ± 0.09495365866229018 , 0.6353440764920323 ± 0.08294932069673738 , 0.7060826820640281 ± 0.07957415517826064 , 0.6083135843405014 ± 0.16216961065183402 , 0.6353440764920324 ± 0.08294932069673737 , 0.01336914 ± 0.007765022 , -13.0 ± 11.949895397031725 , 15.4 ± 8.639444426582072 , -152.0 ± 142.63099242450778 , 166.8 ± 125.0014399917057 , 2.2 ± 6.910861017268399 , 6.6 ± 3.006659275674582 , -2.6 ± 3.7735924528226414 , 2.6 ± 3.7735924528226414

MAnet timm-resnest101e jaccard
