model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
unet++ resnet18 jaccard
fold 1,  0.49118597010584375 ± 0.13644909939533068 , 0.6469566198586254 ± 0.12942025063583784 , 0.6494761292307641 ± 0.06022651286503345 , 0.6632599878014405 ± 0.19704807958581236 , 0.6469566198586254 ± 0.12942025063583787 , 0.019541016 ± 0.013102853 , -11.6 ± 9.068627239003707 , 11.6 ± 9.068627239003707 , -153.8 ± 161.62598800935447 , 158.2 ± 157.3218357380818 , -1.2 ± 4.621688003316538 , 3.2 ± 3.54400902933387 , -1.4 ± 1.3564659966250536 , 1.8 ± 0.7483314773547883
fold 2,  0.46473780123957964 ± 0.05277078285379661 , 0.6328595395235518 ± 0.04743587551311781 , 0.6956820153027137 ± 0.05519345731322575 , 0.5857053290313459 ± 0.06637515656321549 , 0.6328595395235518 ± 0.047435875513117835 , 0.018638672 ± 0.007206789 , -9.6 ± 9.221713506718803 , 9.6 ± 9.221713506718803 , -165.0 ± 129.6688088940436 , 165.0 ± 129.6688088940436 , -2.2 ± 2.85657137141714 , 3.0 ± 2.0 , -1.8 ± 1.8330302779823362 , 1.8 ± 1.8330302779823362
fold 3,  0.5001964941076225 ± 0.1351193582174341 , 0.6548741904243432 ± 0.1331750333697864 , 0.7097703198815644 ± 0.08942489552801083 , 0.6350606884217747 ± 0.18059723060416352 , 0.6548741904243434 ± 0.13317503336978637 , 0.027232423 ± 0.020278608 , -19.2 ± 23.54060322081828 , 21.6 ± 21.359775279716782 , -334.0 ± 305.3817283335727 , 334.0 ± 305.3817283335727 , 2.4 ± 3.136877428271624 , 2.8 ± 2.785677655436824 , -3.6 ± 4.758150901348128 , 3.6 ± 4.758150901348128
fold 4,  0.3891003957262853 ± 0.14421550667888258 , 0.5437917911095468 ± 0.15881934562889427 , 0.6258213448389427 ± 0.1099895078495665 , 0.49156848693208455 ± 0.18031185190592308 , 0.5437917911095468 ± 0.15881934562889427 , 0.027464842 ± 0.006385543 , -10.8 ± 7.520638270785266 , 10.8 ± 7.520638270785266 , -303.2 ± 95.13022653184423 , 303.2 ± 95.13022653184423 , -0.8 ± 6.794115100585212 , 5.6 ± 3.9293765408777004 , -1.8 ± 1.1661903789690602 , 1.8 ± 1.1661903789690602
fold 5,  0.4115375365422925 ± 0.05711710928618323 , 0.5807036373860789 ± 0.059393835583232205 , 0.727762926351956 ± 0.052414246391191896 , 0.490637112742448 ± 0.07943669489041977 , 0.580703637386079 ± 0.059393835583232225 , 0.022849608 ± 0.009662315 , -7.4 ± 12.531560158256434 , 10.6 ± 9.971960689854328 , -250.4 ± 198.45966844676528 , 250.4 ± 198.45966844676528 , 4.8 ± 7.222188034107115 , 7.2 ± 4.833218389437829 , -1.4 ± 0.8 , 1.4 ± 0.8
fold 6,  0.3846659533677129 ± 0.11226038733927673 , 0.5462968957541855 ± 0.11522977571690732 , 0.6782307163133533 ± 0.12253946586667337 , 0.4893210428451888 ± 0.14910433055820344 , 0.5462968957541855 ± 0.11522977571690732 , 0.009660156 ± 0.0050798687 , -5.8 ± 8.471127433818948 , 8.6 ± 5.607138307550475 , -58.8 ± 56.65121357923412 , 62.8 ± 52.18198923000157 , -3.8 ± 8.541662601625049 , 7.4 ± 5.71314274283428 , -0.2 ± 0.4 , 0.2 ± 0.4
fold 7,  0.3571394108552813 ± 0.08296726903171364 , 0.5205733078109643 ± 0.09405974319329218 , 0.7181027820111433 ± 0.0802531500209997 , 0.43188060938171996 ± 0.1363962339395876 , 0.5205733078109643 ± 0.09405974319329223 , 0.020216797 ± 0.015450316 , -15.6 ± 9.134549797335389 , 15.6 ± 9.134549797335389 , -320.8 ± 266.45780153712894 , 320.8 ± 266.45780153712894 , -1.6 ± 10.248902380255165 , 8.8 ± 5.491812087098393 , -1.0 ± 0.6324555320336759 , 1.0 ± 0.6324555320336759
fold 8,  0.44010971522462794 ± 0.08766234557824328 , 0.605826195752965 ± 0.08871387493580375 , 0.7041863085126181 ± 0.09668352083003383 , 0.5372013385063406 ± 0.09487615872412584 , 0.6058261957529651 ± 0.08871387493580381 , 0.009537109 ± 0.0042969664 , -7.2 ± 3.9191835884530852 , 7.2 ± 3.9191835884530852 , -89.8 ± 68.15394339288079 , 89.8 ± 68.15394339288079 , -1.4 ± 2.8705400188814645 , 2.6 ± 1.854723699099141 , -1.4 ± 0.8 , 1.4 ± 0.8
fold 9,  0.46237742832039075 ± 0.06202750761433761 , 0.6299277453152209 ± 0.057457709293813296 , 0.6675356008904455 ± 0.07971717518383127 , 0.6062248516346881 ± 0.08367645793335976 , 0.6299277453152209 ± 0.057457709293813296 , 0.007671875 ± 0.002502643 , -10.4 ± 5.276362383309168 , 10.4 ± 5.276362383309168 , -77.6 ± 54.51091633792262 , 77.6 ± 54.51091633792262 , -3.2 ± 4.534313619501853 , 4.4 ± 3.3823069050575527 , -1.0 ± 1.0954451150103321 , 1.0 ± 1.0954451150103321
