model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo \# difference,Filo \# abs difference,Filo len difference,Filo len abs difference,Single filo \# diff,Single filo \# abs diff,Fused filo \# diff,Fused filo \# abs diff
resnet18,0.43,0.59,0.69,0.54,0.59,0.02,-11.38,12.46,-196.04,196.88,-0.58,5.06,-1.66,1.7
resnet34,0.45,0.61,0.69,0.57,0.61,0.02,-10.26,11.22,-167.72,168.16,-0.96,4.8,-1.36,1.4
resnet50,0.46,0.62,0.68,0.59,0.62,0.02,-9.66,11.9,-145.56,161.0,-0.14,5.46,-1.54,1.7
resnet101,0.45,0.61,0.69,0.57,0.61,0.02,-10.64,11.96,-158.58,163.34,-1.3,5.58,-1.6,1.64
resnet152,0.47,0.63,0.68,0.62,0.63,0.02,-8.94,10.14,-131.56,141.72,-0.28,4.8,-1.42,1.74
resnext50\_32x4d,0.45,0.62,0.7,0.58,0.62,0.02,-10.38,11.38,-157.92,164.28,-0.74,4.82,-1.52,1.72
vgg11,0.48,0.64,0.68,0.62,0.64,0.02,-8.18,9.7,-123.62,136.18,-1.22,5.06,-1.08,1.64
vgg11\_bn,0.46,0.62,0.7,0.57,0.62,0.02,-8.98,10.7,-144.46,146.86,0.26,5.46,-1.56,1.6
vgg13,0.46,0.62,0.74,0.57,0.62,0.02,-8.82,10.5,-154.28,157.16,0.28,5.64,-1.58,1.66
vgg13\_bn,0.48,0.64,0.69,0.62,0.64,0.02,-7.96,9.16,-107.62,120.66,0.26,4.06,-1.4,1.6
vgg16,0.48,0.64,0.72,0.6,0.64,0.02,-8.62,10.26,-139.0,140.96,-0.74,4.66,-1.38,1.62
vgg16\_bn,0.48,0.64,0.71,0.61,0.64,0.02,-7.88,9.56,-109.88,129.52,0.24,4.88,-1.36,1.56
vgg19,0.49,0.65,0.72,0.61,0.65,0.02,-7.98,9.34,-124.2,137.36,-0.42,4.9,-1.22,1.58
vgg19\_bn,0.49,0.65,0.7,0.63,0.65,0.02,-7.04,9.12,-105.98,128.5,0.78,4.82,-1.26,1.62
efficientnet-b0,0.43,0.59,0.66,0.55,0.59,0.02,-8.16,10.68,-135.16,149.28,0.82,6.62,-1.32,1.56
efficientnet-b1,0.43,0.59,0.68,0.56,0.59,0.02,-9.74,11.38,-175.38,188.42,-1.06,6.18,-1.4,1.6
efficientnet-b2,0.44,0.61,0.67,0.58,0.62,0.02,-8.6,10.92,-144.32,160.2,-0.2,6.24,-1.16,1.52
efficientnet-b3,0.44,0.6,0.68,0.56,0.6,0.02,-7.6,10.72,-143.38,155.38,0.54,6.58,-1.1,1.54
efficientnet-b4,0.44,0.6,0.7,0.55,0.6,0.02,-7.66,10.46,-153.64,161.6,1.44,6.68,-1.52,1.68
efficientnet-b5,0.45,0.61,0.69,0.58,0.61,0.02,-8.24,10.12,-129.44,152.88,0.44,5.6,-1.38,1.62
efficientnet-b6,0.45,0.61,0.69,0.58,0.61,0.02,-8.44,10.36,-144.98,166.82,0.38,6.1,-1.24,1.56
mobilenet\_v2,0.43,0.59,0.64,0.57,0.59,0.02,-9.66,11.62,-160.94,169.86,-0.22,5.7,-1.22,1.58
timm-efficientnet-b0,0.44,0.6,0.67,0.57,0.6,0.02,-8.56,11.04,-164.58,174.06,0.96,6.76,-1.46,1.62
