model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
UNet++ timm-resnest101e jaccard 0.01
fold 1,0.5323699830669879 ± 0.09932332379571222,0.6893341314376169 ± 0.08492052331907193,0.7656472707971511 ± 0.06346877764151275,0.6302377859609452 ± 0.10276390514695417,0.6893341314376169 ± 0.08492052331907193,0.016162109 ± 0.010936745,-5.6 ± 4.029888335921977,5.6 ± 4.029888335921977,-117.6 ± 79.15705906613762,117.6 ± 79.15705906613762,0.0 ± 3.521363372331802,3.2 ± 1.469693845669907,-0.8 ± 0.7483314773547883,0.8 ± 0.7483314773547883
fold 2,0.5294891028150097 ± 0.085240735730237,0.6885791316718854 ± 0.06811837825252341,0.7668026402539938 ± 0.0688293964275728,0.6262258265477533 ± 0.07147600379825503,0.6885791316718854 ± 0.0681183782525234,0.015597656 ± 0.007104852,-8.2 ± 6.968500556073738,9.4 ± 5.238320341483518,-125.8 ± 59.260104623599844,125.8 ± 59.260104623599844,-0.4 ± 4.127953488110059,3.6 ± 2.0591260281974,-1.2 ± 1.16619037896906,1.2 ± 1.16619037896906
fold 3,0.5979750697170724 ± 0.09980218633958389,0.743166587655424 ± 0.0841211396315256,0.7577395773820698 ± 0.054683909976952196,0.7369208486047574 ± 0.11883062781797757,0.743166587655424 ± 0.08412113963152557,0.021777345 ± 0.016750876,-17.0 ± 19.40103090044444,17.0 ± 19.40103090044444,-257.0 ± 199.34994356658345,257.0 ± 199.34994356658345,2.4 ± 3.006659275674582,3.6 ± 1.3564659966250538,-3.4 ± 3.3226495451672298,3.4 ± 3.3226495451672298
fold 4,0.4764150073917695 ± 0.11358463769501208,0.6371343892489852 ± 0.10725587147834904,0.6320564052828899 ± 0.08576234437846642,0.6524308886441372 ± 0.14750338560492182,0.6371343892489852 ± 0.10725587147834903,0.025740236 ± 0.0064198524,-2.0 ± 10.295630140987,8.4 ± 6.280127387243033,-147.8 ± 138.60216448526336,163.4 ± 119.81585871661564,1.2 ± 7.35934779718964,6.4 ± 3.8262252939417984,-0.6 ± 1.4966629547095764,1.4 ± 0.8
fold 5,0.521752185158885 ± 0.05237306977559709,0.6841158894775567 ± 0.04678615088069296,0.7661615264428724 ± 0.038617053194495994,0.6227700172657105 ± 0.07127115429038788,0.6841158894775567 ± 0.046786150880692975,0.018439453 ± 0.0071711233,-4.4 ± 2.4166091947189146,4.4 ± 2.4166091947189146,-118.6 ± 97.62089940171623,118.6 ± 97.62089940171623,-0.4 ± 2.8705400188814645,2.4 ± 1.624807680927192,-0.2 ± 0.4,0.2 ± 0.4
fold 6,0.42642382297646664 ± 0.1592144209523036,0.5795189590007702 ± 0.1656293404168889,0.6358436759699956 ± 0.16796343123917365,0.6554286322278402 ± 0.2542679584561943,0.5795189590007702 ± 0.1656293404168889,0.010884766 ± 0.0070365905,-2.2 ± 8.328265125462805,7.8 ± 3.6551333764994136,27.4 ± 110.91546330426611,73.4 ± 87.55249853659231,-4.0 ± 4.1952353926806065,4.4 ± 3.7735924528226414,0.6 ± 1.3564659966250536,1.0 ± 1.0954451150103321
fold 7,0.43705517037435093 ± 0.08808798197884583,0.6032304606249912 ± 0.08218141746109543,0.6681126613969193 ± 0.17179764414621057,0.5898817413777531 ± 0.1161983149617503,0.6032304606249912 ± 0.08218141746109543,0.018191407 ± 0.010277121,-10.6 ± 4.673328578219169,10.6 ± 4.673328578219169,-115.2 ± 174.88784977807921,169.2 ± 123.40243109436702,-1.0 ± 8.024961059095553,7.0 ± 4.049691346263317,-0.6 ± 0.48989794855663565,0.6 ± 0.48989794855663565
fold 8,0.5262641681111604 ± 0.041725113446925526,0.6886091144433111 ± 0.036652845335443544,0.7874194659332538 ± 0.08737714396045733,0.6167658236037254 ± 0.03679289881850069,0.6886091144433111 ± 0.03665284533544361,0.00778125 ± 0.0034958068,-7.0 ± 4.147288270665544,7.0 ± 4.147288270665544,-65.6 ± 43.27401067615527,65.6 ± 43.27401067615527,1.2 ± 1.9390719429665315,1.6 ± 1.624807680927192,-1.8 ± 1.1661903789690602,1.8 ± 1.1661903789690602
fold 9,0.4822067520266914 ± 0.05148260707070303,0.649033169951875 ± 0.04686820376636785,0.7302151235453639 ± 0.06230379093186309,0.5872417530520541 ± 0.052593434099078275,0.649033169951875 ± 0.046868203766367855,0.006996094 ± 0.0026638475,-9.6 ± 5.4626001134990645,9.6 ± 5.4626001134990645,-73.4 ± 39.51506042004744,73.4 ± 39.51506042004744,-2.8 ± 5.491812087098393,4.4 ± 4.317406628984581,-1.0 ± 0.8944271909999159,1.0 ± 0.8944271909999159
fold 10,0.4744043516563898 ± 0.08965878204360084,0.6387562544372036 ± 0.07842996881132534,0.7055069581273685 ± 0.07814028530797129,0.6027700188114021 ± 0.13185698739982027,0.6387562544372036 ± 0.07842996881132534,0.013447265 ± 0.00827282,-9.6 ± 8.593020423576334,10.8 ± 7.025667228100119,-123.8 ± 100.93641562885023,137.4 ± 81.46066535451327,5.2 ± 7.520638270785266,6.4 ± 6.529931086925803,-2.2 ± 2.4819347291981715,2.2 ± 2.4819347291981715
UNet++ timm-resnest101e jaccard 0.05
fold 1,0.5154011975118329 ± 0.09565048523505534,0.6748890942343365 ± 0.08450964026309572,0.7761720950622623 ± 0.09330265102225804,0.6000625507500899 ± 0.09133918042831068,0.6748890942343364 ± 0.0845096402630957,0.01680078 ± 0.011801494,-7.2 ± 4.534313619501853,7.2 ± 4.534313619501853,-154.8 ± 102.2103712937195,154.8 ± 102.2103712937195,4.2 ± 5.77581163127746,6.6 ± 2.727636339397171,-1.2 ± 1.5999999999999999,1.6 ± 1.2
fold 2,0.5407336158920373 ± 0.06714830870971396,0.6995934401874153 ± 0.05332049494398811,0.827114146613343 ± 0.032795168318603914,0.6078400363499579 ± 0.06758285903024387,0.6995934401874155 ± 0.053320494943988106,0.014181641 ± 0.0056742313,-6.6 ± 7.059745037889116,9.0 ± 3.521363372331802,-154.2 ± 60.6412400928609,154.2 ± 60.6412400928609,1.8 ± 3.249615361854384,2.6 ± 2.65329983228432,-1.8 ± 1.1661903789690602,1.8 ± 1.1661903789690602
fold 3,0.6047802321548452 ± 0.09965739306687377,0.748550824250987 ± 0.083380508675801,0.7939610001470593 ± 0.08276732900239474,0.7179593116526701 ± 0.11488140978430977,0.748550824250987 ± 0.08338050867580103,0.020978514 ± 0.016939748,-13.6 ± 17.738094598913378,15.2 ± 16.387800340497197,-219.4 ± 151.8217375740378,219.4 ± 151.8217375740378,0.6 ± 3.555277766926235,3.0 ± 2.0,-2.8 ± 2.1354156504062622,2.8 ± 2.1354156504062622
fold 4,0.4695250762792297 ± 0.10456255014791221,0.6318987815548386 ± 0.1002328011879973,0.6543156546136866 ± 0.09159280939818103,0.6171314421992171 ± 0.1230480507290974,0.6318987815548386 ± 0.10023280118799731,0.02515625 ± 0.006023011,-5.2 ± 11.160645142642965,11.2 ± 5.114684741017769,-179.8 ± 143.0879449848938,183.0 ± 138.97193961372201,-0.8 ± 7.386474125047755,6.4 ± 3.7735924528226414,-0.4 ± 1.4966629547095767,1.2 ± 0.9797958971132713
