model   ,IOU                                      ,DICE                                     ,PRECISION                                ,RECALL                                   ,F1                                       ,MSE                         ,Filo # difference                        ,Filo # abs difference                   ,Filo len difference                      ,Filo len abs difference                 ,Single filo # diff                       ,Single filo # abs diff                  ,Fused filo # diff                         ,Fused filo # abs diff
fold 1  ,0.5310772800381822 ± 0.09590062563071676 ,0.6881772855192857 ± 0.08899844810911997 ,0.7641942792506605 ± 0.07461292884111947 ,0.639576052752704 ± 0.12683315959143543  ,0.6881772855192857 ± 0.08899844810912    ,0.019704998 ± 0.011001334   ,-16.291666666666668 ± 18.88667777091096  ,17.208333333333332 ± 18.055422008053117 ,-273.0416666666667 ± 250.3255345822493   ,273.7916666666667 ± 249.50500649062917  ,0.2916666666666667 ± 6.432205211969601   ,5.125 ± 3.8977824892281165              ,-2.875 ± 3.059309562630104                ,2.875 ± 3.059309562630104
fold 2  ,0.4948723555337661 ± 0.09199318740400782 ,0.6566694136729494 ± 0.08846061032024222 ,0.6886592161174834 ± 0.07425584097794198 ,0.650676719139135 ± 0.13833370262198652  ,0.6566694136729494 ± 0.08846061032024222 ,0.02061797 ± 0.009769483    ,-7.12 ± 11.243913909311116               ,9.84 ± 8.960714257245344                ,-143.64 ± 159.91894947128685             ,161.88 ± 141.42625498824466             ,2.36 ± 9.60783014004723                  ,6.84 ± 7.148034694935384                ,-1.12 ± 1.3658696863171098                ,1.28 ± 1.2172099243762353               
fold 3  ,0.4356915584601271 ± 0.16698955618600328 ,0.5843017278087652 ± 0.19710465514425607 ,0.7265821365464601 ± 0.19432449517577394 ,0.535938847974046 ± 0.2185257805537677   ,0.6097061507569724 ± 0.15827240202258008 ,0.014477539 ± 0.01396912    ,-10.166666666666666 ± 16.354578020304352 ,10.333333333333334 ± 16.249786323381475 ,-211.25 ± 435.7446930256294              ,221.41666666666666 ± 430.667690594758   ,-0.08333333333333333 ± 5.648869110027442 ,4.5 ± 3.415650255319866                 ,-0.75 ± 1.4505745987941008                ,1.25 ± 1.050793351076541
fold 4  ,0.5126978509959088 ± 0.08077716383062787 ,0.6740039849383086 ± 0.07235773030709869 ,0.6954466668050295 ± 0.0923173755639622  ,0.6788149936307605 ± 0.13148225774805594 ,0.6740039849383088 ± 0.0723577303070987  ,0.009953517 ± 0.006375832   ,-4.52 ± 9.051497113737595                ,7.08 ± 7.227281646649728                ,-32.4 ± 90.48889434621245                ,69.68 ± 66.2019455907453                ,0.72 ± 5.889108591289517                 ,4.4 ± 3.97994974842648                  ,-1.0 ± 2.244994432064365                  ,1.24 ± 2.121885953579975
fold 5  ,0.5767558249311183 ± 0.07205374357268989 ,0.7287983657033338 ± 0.06080695322508935 ,0.7305087477613498 ± 0.08330724826683472 ,0.737277183640359 ± 0.08737164523089318  ,0.7287983657033338 ± 0.06080695322508936 ,0.0043530273 ± 0.0031286334 ,-0.20833333333333334 ± 2.397553730135967 ,1.7083333333333333 ± 1.6950704672339993 ,-14.75 ± 30.59990468394741               ,24.75 ± 23.267018860753662              ,1.1666666666666667 ± 2.852873794770615   ,2.3333333333333335 ± 2.0138409955990957 ,-0.08333333333333333 ± 0.6400954789890507 ,0.25 ± 0.5951190357119042
fold 6  ,0.5462683668617352 ± 0.08743846225233266 ,0.7023851318624795 ± 0.07402876002571349 ,0.7699115458515203 ± 0.13425632828265166 ,0.6765066642461893 ± 0.1156757147834041  ,0.7023851318624795 ± 0.07402876002571346 ,0.003047656 ± 0.0023528482  ,-0.04 ± 3.304300228490141                ,2.28 ± 2.3919866220361685               ,-2.08 ± 33.27211445039224                ,24.08 ± 23.054578720939578              ,0.64 ± 2.4800000000000004                ,1.6 ± 2.0                               ,-0.04 ± 0.34409301068170506               ,0.12 ± 0.32496153618543844
fold 7  ,0.5252193319620275 ± 0.13849042655254123 ,0.676614979427643 ± 0.13420518000940312  ,0.700965065327008 ± 0.19153696873241038  ,0.70195331550202 ± 0.13727271050024933   ,0.676614979427643 ± 0.13420518000940312  ,0.002203125 ± 0.0014602898  ,0.28 ± 2.1637005338077633                ,1.72 ± 1.3422369388450013               ,5.92 ± 24.89645757934249                 ,19.12 ± 17.008985860420953              ,1.16 ± 2.185040045399626                 ,1.96 ± 1.5094369811290564               ,-0.12 ± 0.32496153618543844               ,0.12 ± 0.32496153618543844
fold 8  ,0.5357717440707676 ± 0.13433327548295532 ,0.6861353720363893 ± 0.1343374165892408  ,0.8098978588354925 ± 0.07116569397929115 ,0.6139013876563936 ± 0.15197580371917288 ,0.6861353720363893 ± 0.1343374165892408  ,0.001640218 ± 0.001348539   ,-2.0833333333333335 ± 2.253084305765962  ,2.1666666666666665 ± 2.173067468400883  ,-15.791666666666666 ± 14.871614927624893 ,16.625 ± 13.933809302077686             ,-0.875 ± 2.06785919894626                ,1.5416666666666667 ± 1.6324615020133109 ,-0.125 ± 0.33071891388307384              ,0.125 ± 0.33071891388307384
fold 9  ,0.5222852979892635 ± 0.11991413139374625 ,0.6774437184386315 ± 0.11162902991709049 ,0.7770901290563629 ± 0.10914189555240264 ,0.6209573651747831 ± 0.13687547944556924 ,0.6774437184386315 ± 0.11162902991709049 ,0.0021558593 ± 0.001030992  ,-1.12 ± 2.2148589119851403               ,1.92 ± 1.572768260107                   ,-5.48 ± 18.67430319985193                ,16.44 ± 10.415680486650885              ,-0.76 ± 2.0645580640902303               ,1.8 ± 1.2649110640673518                ,0.04 ± 0.19595917942265428                ,0.04 ± 0.19595917942265428
