image,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
11,0.48820414058738565,0.656098350048528,0.625154130702836,0.6902654867256637,0.6560983500485279,0.0103808595,-12,12,9,9,-6,6,-2,2
12,0.5371188687582855,0.6988644530688515,0.7468509984639017,0.6566720691518099,0.6988644530688515,0.020458985,-14,14,-280,280,-1,1,-4,4
15,0.624747814391392,0.7690397350993378,0.7879558948261238,0.7510105092966856,0.7690397350993379,0.010898437,-6,6,-40,40,-1,1,0,0
10,0.6274138583869746,0.7710563052582596,0.9404086265607264,0.6533911671924291,0.7710563052582597,0.009609375,-12,12,-151,151,-1,1,-1,1
24,0.28685921669438985,0.44582843713278497,0.588582066397766,0.3588046150936259,0.44582843713278497,0.046054687,-57,57,-556,556,-9,9,-10,10
3,0.4838709677419355,0.6521739130434783,0.7028112449799196,0.608342989571263,0.6521739130434783,0.021875,-7,7,-165,165,-3,3,-1,1
1,0.4505003849114704,0.6211654813714043,0.6462014134275619,0.597997138769671,0.6211654813714045,0.034853514,-11,11,-244,244,-1,1,-1,1
13,0.5713853141559425,0.7272376914924367,0.8245575704610006,0.6504653567735263,0.7272376914924367,0.027646484,-28,28,-532,532,4,4,-5,5
20,0.5804674140224206,0.734551574897812,0.7519074575436869,0.717978848413631,0.7345515748978121,0.0215625,-12,12,-403,403,3,3,-1,1
6,0.5722379603399433,0.7279279279279279,0.7075306479859895,0.7495361781076066,0.727927927927928,0.008847657,-5,5,23,23,2,2,0,0
22,0.38736788488475743,0.5584212941716383,0.6977064220183486,0.4654934965570008,0.5584212941716384,0.046982422,-60,60,-673,673,-2,2,-11,11
5,0.5389876880984952,0.7004444444444444,0.6533996683250415,0.7547892720306514,0.7004444444444444,0.016455078,1,1,77,77,-1,1,0,0
16,0.6398736902540548,0.7803938730853391,0.8197866862817212,0.7446133288792384,0.7803938730853393,0.024501953,-21,21,-491,491,8,8,-4,4
8,0.49942594718714123,0.666156202143951,0.7901907356948229,0.5757776307081403,0.666156202143951,0.01703125,-21,21,-268,268,-13,13,-1,1
20,0.6606019766397125,0.7956174759908021,0.7688888888888888,0.8242713004484304,0.7956174759908021,0.014755859,-8,8,-244,244,4,4,-2,2
17,0.5603209739900388,0.718212449015783,0.6269349845201239,0.8405977584059776,0.718212449015783,0.015517578,0,0,-136,136,5,5,-1,1
14,0.49405148172182567,0.6613580425655132,0.9041963578780681,0.5213421593243551,0.6613580425655132,0.022841796,-29,29,-467,467,2,2,-4,4
19,0.6788939051918735,0.8087394957983193,0.7834581569521328,0.8357068426536992,0.8087394957983194,0.011113281,-2,2,-68,68,-1,1,0,0
4, 0.5717466600692727,0.7275303006453644,0.6871840618495391,0.7729096989966555,0.7275303006453644,0.016904296,3,3,26,26,4,4,0,0
21, 0.6514840395743886,0.7889680117553973,0.7403478998727195,0.8444229373336559,0.7889680117553972,0.018232422,8,8,-181,181,3,3,0,0
7, 0.571900826446281,0.7276550998948476,0.7801578354002254,0.6817733990147783,0.7276550998948474,0.0050585936,3,3,-37,37,4,4,0,0
9, 0.4641985353946298,0.6340650180605724,0.7791054967565723,0.5345514171937222,0.6340650180605725,0.025722656,-12,12,-332,332,5,5,-5,5
2, 0.49122807017543857,0.6588235294117647,0.665911664779162,0.6518847006651884,0.6588235294117648,0.017841797,2,2,-27,27,11,11,-2,2
23, 0.6430227167362077,0.7827313769751693,0.7831733483907397,0.7822899041173152,0.7827313769751693,0.007519531,-3,3,-36,36,3,3,-3,3
45, 0.5632183908045977, 0.7205882352941176, 0.8515568428674873, 0.6245353159851301, 0.7205882352941176, 0.00890625, -1, 1, -60, 60, 1, 1, 1, 1
26, 0.3831677992681652, 0.5540438397581254, 0.6524254561637739, 0.48144499178981937, 0.5540438397581255, 0.023046875, -6, 6, -113, 113, 19, 19, -3, 3
29, 0.5794314381270903, 0.733721545791424, 0.6913867642168274, 0.781578947368421, 0.7337215457914241, 0.014736328, 3, 3, -25, 25, 3, 3, 0, 0
27, 0.4024390243902439, 0.5739130434782609, 0.5828427249789739, 0.5652528548123981, 0.5739130434782609, 0.040195312, 7, 7, 18, 18, 36, 36, -3, 3
41, 0.5673015873015873, 0.723921409763014, 0.6784358390280941, 0.77594442032132, 0.723921409763014, 0.013310547, -3, 3, 89, 89, 0, 0, -1, 1
31, 0.5903692858304864, 0.742430441898527, 0.8296753543667124, 0.6717882265827472, 0.742430441898527, 0.024589844, -13, 13, -259, 259, 4, 4, -3, 3
