 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,58,152,10.2426,38.0711
2,61,137,25.3137,143.7696
3,112,70,19.3137,157.1249
4,95,86,18.0711,0
5,85,75,14.2426,0
6,110,98,11.6569,0
7,95,86,9.8284,0
8,105,108,9.2426,0
9,88,83,8.2426,0
10,93,124,10.6569,0
11,103,44,3.4142,0
12,112,39,1,0
13,152,34,4.4142,0
14,185,238,40.2132,0
15,222,221,5.8284,0
16,223,227,4.8284,0
17,278,185,21.7279,0
18,304,158,20.1421,0
19,284,175,8.6569,0
20,287,169,4.8284,0
21,285,167,3.4142,0
22,285,167,2.8284,0
23,283,189,14.6569,0
24,287,181,7.8284,0
25,292,227,9.8284,0
